Construction_Investment,Year,Value,Total,Architecture_Total,Architecture_Residential,Architecture_Residential_Government,Architecture_Residential_Private,Architecture_Non Residential,Architecture_Non Residential_Government,Architecture_Non Residential_Private,Architecture_Non Residential_Private_Mining and Industry,Architecture_Non Residential_Private_Other,Architecture_Building Repairs(Renovation or Remodeling),Architecture_Building Repairs_Government,Architecture_Building Repairs_Private,Civil Engineering_Total,Civil Engineering_Government,Civil Engineering_Government_Public Projects,Civil Engineering_Government_Other,Civil Engineering_Private,Repeated_Total_Government,Repeated_Total_Private,Repeated_Architecture_Government,Repeated_Architecture_Private,Repeated_Civil Engineering_Government,Repeated_Civil Engineering_Private,Repeated_Private_Non Residential Construction(Non Residential Architecture and Civil Engineering)
proportion,1978,real,100,59,34.9,2.4,32.4,24.1,7.8,16.4,2.9,13.4,,,,41,31,22.7,8.3,10,41.2,58.8,10.2,48.8,31,10,26.4
proportion,1977,real,100,59.6,36.1,2.3,33.8,23.5,6.9,16.6,3.1,13.5,,,,40.4,29.6,21.3,8.3,10.8,38.8,61.2,9.2,50.4,29.6,10.8,27.4
proportion,1976,real,100,63.1,38.5,2.3,36.2,24.5,6.1,18.5,4,14.5,,,,36.9,27.3,19.2,8.2,9.6,35.7,64.3,8.4,54.7,27.3,9.6,28.1
proportion,1975,real,100,62.5,37.8,2.7,35.1,24.7,7.1,17.6,4,13.7,,,,37.5,27.8,18.9,8.9,9.8,37.5,62.5,9.8,52.7,27.8,9.8,27.4
proportion,1974,real,100,62.5,35.4,2.6,32.7,27.2,6.9,20.3,6,14.3,,,,37.5,26,17.4,8.6,11.5,35.6,64.4,9.5,53,26,11.5,31.7
proportion,1973,real,100,66.5,36.1,1.8,34.4,30.4,5.3,25.1,7.6,17.5,,,,33.5,23.2,15.9,7.3,10.3,30.3,69.7,7,59.4,23.2,10.3,35.4
proportion,1972,real,100,62.7,34.9,2.2,32.7,27.8,5.1,22.7,5.7,17,,,,37.3,28.2,19.9,8.3,9,35.5,64.5,7.3,55.5,28.2,9,31.7
proportion,1971,real,100,62.9,34.1,2.7,31.4,28.7,5.9,22.8,5.8,17,,,,37.1,28.6,20.2,8.4,8.5,37.2,62.8,8.6,54.2,28.6,8.5,31.4
proportion,1970,real,100,66.4,35.7,2.6,33.1,30.7,6.1,24.6,8.6,16,,,,33.6,25.1,17.1,7.9,8.5,33.8,66.2,8.7,57.7,25.1,8.5,33.1
proportion,1969,real,100,65.5,35.7,2.3,33.5,29.8,5.3,24.4,8.3,16.1,,,,34.5,24.9,16.8,8.1,9.6,32.5,67.5,7.6,57.9,24.9,9.6,34.1
proportion,1968,real,100,64.5,35.3,2.3,33,29.2,5.5,23.7,7.9,15.9,,,,35.5,26.8,18,8.8,8.7,34.5,65.5,7.7,56.7,26.8,8.7,32.4
proportion,1967,real,100,64.1,35.2,2.1,33.1,28.9,5.2,23.7,7.6,16.1,,,,35.9,27.8,18.9,8.9,8.1,35.1,64.9,7.3,56.7,27.8,8.1,31.8
proportion,1966,real,100,61.2,34.8,2.5,32.3,26.4,6.1,20.4,5.4,14.9,,,,38.8,30.1,20.8,9.3,8.7,38.6,61.4,8.5,52.7,30.1,8.7,29
proportion,1965,real,100,62.5,34,2.4,31.5,28.5,6.6,21.9,6,16,,,,37.5,29.4,19.6,9.8,8.1,38.4,61.6,9,53.5,29.4,8.1,30
proportion,1964,real,100,64.8,30.6,2,28.7,34.2,5.9,28.3,9.1,19.2,,,,35.2,27.5,19.1,8.4,7.6,35.4,64.6,7.8,57,27.5,7.6,36
proportion,1963,real,100,59.7,29.9,2,27.9,29.8,5.4,24.4,8.1,16.3,,,,40.3,31.1,20.7,10.4,9.2,38.5,61.5,7.4,52.3,31.1,9.2,33.6
proportion,1962,real,100,59.4,27.5,2.4,25.1,31.8,6.9,25,10.2,14.7,,,,40.6,30.6,20.9,9.7,10.1,39.9,60.1,9.3,50.1,30.6,10.1,35
proportion,1961,real,100,61,26.5,2,24.5,34.5,5.4,29.1,13.5,15.6,,,,39,27.1,19.1,8,11.9,34.5,65.5,7.4,53.6,27.1,11.9,40.9
proportion,1960,real,100,61.4,28.2,1.9,26.2,33.3,6.2,27.1,12.3,14.8,,,,38.6,26.6,19.2,7.3,12,34.7,65.3,8.2,53.3,26.6,12,39.1
Construction investment amount,2022,nominal,592570,383253,141855,2985,138870,139965,34192,105773,,,101433,16652,84781,209317,146229,128217,18012,63088,200058,392512,53829,329424,146229,63088,168861
Construction investment amount,2021,nominal,589071,375938,143248,3161,140087,131616,35524,96092,,,101074,17278,83796,213133,151731,133097,18634,61402,207694,381377,55963,319975,151731,61402,157494
Construction investment amount,2020,nominal,605470,376278,146114,3896,142218,134164,37211,96953,,,96000,17860,78140,229192,166449,143094,23355,62743,225416,380054,58967,317311,166449,62743,159696
Construction investment amount,2019,nominal,576790,372698,155775,4035,151740,143475,36083,107392,23076,84316,73448,13082,60366,204092,153944,130468,23476,50148,207144,369646,53200,319498,153944,50148,157540
Construction investment amount,2018,nominal,585727,384355,164178,4933,159245,145552,36652,108900,24204,84696,74625,12439,62186,201372,149719,127563,22156,51653,203743,381984,54024,330331,149719,51653,160553
Construction investment amount,2017,nominal,599762,399948,172004,6067,165937,153333,41381,111952,22265,89687,74611,12937,61674,199814,152219,129721,22498,47595,212604,387158,60385,339563,152219,47595,159547
Construction investment amount,2016,nominal,585902,382078,171709,7575,164134,136813,34691,102122,19697,82425,73556,13420,60136,203824,153537,128472,25065,50287,209223,376679,55686,326392,153537,50287,152409
Construction investment amount,2015,nominal,566468,370916,164808,7898,156910,130824,34905,95919,19587,76332,75284,13284,62000,195552,145961,119549,26412,49591,202048,364420,56087,314829,145961,49591,145510
Construction investment amount,2014,nominal,476089,282466,155902,7438,148464,126564,34316,92248,15829,76419,,,,193623,145003,125042,19961,48620,186757,289332,41754,240712,145003,48620,140868
Construction investment amount,2013,nominal,500683,297620,177517,6704,170813,120103,27900,92203,14377,77826,,,,203063,156175,135011,21164,46888,190779,309904,34604,263016,156175,46888,139091
Construction investment amount,2012,nominal,451384,264975,161715,4765,156950,103260,24383,78877,13761,65116,,,,186409,141496,121798,19698,44913,170644,280740,29148,235827,141496,44913,123790
Construction investment amount,2011,nominal,444809,251045,152029,4588,147441,99016,20214,78802,12369,66434,,,,193764,148078,126171,21907,45686,172880,271929,24802,226243,148078,45686,124488
Construction investment amount,2010,nominal,448943,236580,143846,5489,138357,92734,18256,74478,11499,62980,,,,212363,169161,139847,29314,43202,192906,256037,23745,212835,169161,43202,117680
Construction investment amount,2009,nominal,460709,242656,142567,5967,136600,100089,17781,82308,13869,68440,,,,218053,169426,150100,19326,48627,193174,267535,23748,218908,169426,48627,130935
Construction investment amount,2008,nominal,497096,292759,173862,5445,168417,118897,15813,103084,26206,76877,,,,204337,152458,133725,18733,51879,173716,323380,21258,271501,152458,51879,154963
Construction investment amount,2007,nominal,508649,293684,180875,5747,175128,112809,14980,97829,20999,76830,,,,214965,162087,143658,18429,52878,182814,325835,20727,272957,162087,52878,150707
Construction investment amount,2006,nominal,561079,331991,208925,6442,202483,123066,15848,107218,25766,81452,,,,229088,174523,155084,19439,54565,196813,364266,22290,309701,174523,54565,161783
Construction investment amount,2005,nominal,575087,328948,208873,5946,202927,120075,16883,103192,22268,80924,,,,246139,190844,170263,20581,55295,213673,361414,22829,306119,190844,55295,158487
Construction investment amount,2004,nominal,596338,331575,211346,7408,203938,120229,19369,100860,18897,81963,,,,264763,211216,187562,23654,53547,237993,358345,26777,304798,211216,53547,154407
Construction investment amount,2003,nominal,613278,323332,209928,9246,200682,113404,26544,86860,13845,73015,,,,289946,235077,208510,26567,54869,270867,342411,35790,287542,235077,54869,141729
Construction investment amount,2002,nominal,653886,331091,212415,10040,202375,118676,30009,88667,12893,75773,,,,322795,261393,232325,29068,61402,301442,352444,40049,291042,261393,61402,150069
Construction investment amount,2001,nominal,698265,346167,217908,10597,207311,128259,30344,97915,16547,81368,,,,352098,283461,251220,32241,68637,324402,373863,40941,305226,283461,68637,166552
Construction investment amount,2000,nominal,741198,371686,233301,10737,222564,138385,33878,104507,19442,85065,,,,369512,293985,258089,35896,75527,338600,402598,44615,327071,293985,75527,180034
Construction investment amount,1999,nominal,768968,383750,239602,11868,227734,144148,38929,105219,14567,90651,,,,385218,311258,276102,35156,73960,362055,406913,50797,332953,311258,73960,179179
Construction investment amount,1998,nominal,794871,383312,228998,13490,215508,154314,40435,113879,19640,94239,,,,411559,327755,291304,36451,83804,381680,413191,53925,329387,327755,83804,197683
Construction investment amount,1997,nominal,819912,429269,254462,14730,239732,174807,44197,130610,28370,102240,,,,390643,304489,267660,36829,86154,363416,456496,58927,370342,304489,86154,216764
Construction investment amount,1996,nominal,908858,495411,315713,16469,299244,179698,46122,133576,26765,106812,,,,413447,321973,281948,40025,91474,384564,524294,62591,432820,321973,91474,225050
Construction investment amount,1995,nominal,870323,445933,278113,15838,262275,167820,46436,121384,23226,98158,,,,424390,329359,289315,40044,95031,391633,478690,62274,383659,329359,95031,216415
Construction investment amount,1994,nominal,867793,477994,295373,19357,276016,182621,51934,130687,25331,105356,,,,389799,299647,263082,36565,90152,370938,496855,71291,406703,299647,90152,220839
Construction investment amount,1993,nominal,903350,494039,276796,16558,260238,217243,57180,160063,29224,130839,,,,409311,309252,270430,38822,100059,382990,520360,73738,420301,309252,100059,260122
Construction investment amount,1992,nominal,933209,540859,263261,14769,248492,277598,55569,222029,44127,177901,,,,392350,292296,254706,37590,100054,362634,570575,70338,470521,292296,100054,322083
Construction investment amount,1991,nominal,927705,566760,270095,12828,257267,296665,50331,246334,60273,186062,,,,360945,262752,229309,33443,98193,325911,601794,63159,503601,262752,98193,344527
Construction investment amount,1990,nominal,939187,597567,304509,11551,292958,293058,41228,251830,63297,188533,,,,341620,248110,218263,29847,93510,300889,638298,52779,544788,248110,93510,345340
Construction investment amount,1989,nominal,872323,548894,287723,10989,276734,261171,38914,222257,60227,162030,,,,323429,244063,214814,29249,79366,293966,578357,49903,498991,244063,79366,301623
Construction investment amount,1988,nominal,838276,521919,285704,10103,275601,236215,40300,195915,45338,150578,,,,316357,246977,219015,27962,69380,297380,540896,50403,471516,246977,69380,265295
Construction investment amount,1987,nominal,787984,477050,273331,10751,262580,203719,39839,163880,30313,133567,,,,310934,242743,214569,28174,68191,293333,494651,50590,426460,242743,68191,232071
Construction investment amount,1986,nominal,697984,409860,220085,10602,209483,189775,38664,151111,29860,121251,,,,288124,224419,190166,34253,63705,273685,424299,49266,360594,224419,63705,214816
Construction investment amount,1985,nominal,647583,378858,201023,10808,190215,177835,36620,141215,35545,105670,,,,268725,206361,174534,31827,62364,253789,393794,47428,331430,206361,62364,203579
Construction investment amount,1984,nominal,626222,369482,194752,11028,183724,174730,40058,134672,35265,99406,,,,256740,201346,163322,38024,55394,252432,373790,51086,318396,201346,55394,190066
Construction investment amount,1983,nominal,626467,361637,194953,11940,183013,166684,43264,123420,26226,97194,,,,264830,207412,165995,41417,57418,262616,363851,55204,306433,207412,57418,180838
Construction investment amount,1982,nominal,658517,377586,212042,11464,200578,165544,49021,116523,26219,90305,,,,280931,206134,163646,42488,74797,266619,391898,60485,317101,206134,74797,191320
Construction investment amount,1981,nominal,663180,385554,208561,11881,196680,176993,53476,123517,29788,93729,,,,277626,201561,157037,44524,76065,266918,396262,65357,320197,201561,76065,199582
Construction investment amount,1980,nominal,657213,388558,210874,11765,199109,177684,52762,124922,29125,95797,,,,268655,197330,151237,46093,71325,261857,395356,64527,324031,197330,71325,196247
Construction investment amount,1979,nominal,693904,416425,232917,12925,219992,183508,54278,129230,27038,102192,,,,277479,209681,158677,51004,67798,276884,417020,67203,349222,209681,67798,197028
Construction investment amount,1978,nominal,684112,401567,237492,16616,220876,164075,52760,111315,19955,91360,,,,282545,215481,160064,55417,67064,284857,399255,69376,332191,215481,67064,178379
Construction investment amount,1977,nominal,657255,387688,232981,14635,218346,154707,45376,109331,20392,88939,,,,269567,200228,146770,53458,69339,260239,397016,60011,327677,200228,69339,178670
Construction investment amount,1976,nominal,602075,373563,226558,13811,212747,147005,36315,110690,23825,86865,,,,228512,171851,123632,48219,56661,221977,380098,50126,323437,171851,56661,167351
Construction investment amount,1975,nominal,601462,372347,224523,15871,208652,147824,42427,105397,23679,81718,,,,229115,172130,120385,51745,56985,230428,371034,58298,314049,172130,56985,162382
Construction investment amount,1974,nominal,563306,348945,196863,14755,182108,152082,38526,113556,33695,79861,,,,214361,151766,104883,46883,62595,205047,358259,53281,295664,151766,62595,176151
Construction investment amount,1973,nominal,652711,421845,224083,11359,212724,197762,34414,163348,49239,114109,,,,230866,164040,116499,47541,66826,209813,442898,45773,376072,164040,66826,230174
Construction investment amount,1972,nominal,621838,374814,204319,13354,190965,170495,31209,139286,34834,104451,,,,247024,190185,137810,52375,56839,234748,387090,44563,330251,190185,56839,196125
Construction investment amount,1971,nominal,524439,321215,175133,14111,161022,146082,29948,116134,29613,86521,,,,203224,159131,115821,43310,44093,203190,321249,44059,277156,159131,44093,160227
Construction investment amount,1970,nominal,465316,301915,163325,11966,151359,138590,27519,111071,38796,72275,,,,163401,124637,88541,36096,38764,164122,301194,39485,262430,124637,38764,149835
Construction investment amount,1969,nominal,423448,270576,149498,9351,140147,121078,21653,99425,33929,65497,,,,152872,112932,79366,33566,39940,143936,279512,31004,239572,112932,39940,139365
Construction investment amount,1968,nominal,367471,229662,127014,8092,118922,102648,19307,83341,27638,55703,,,,137809,105715,73296,32419,32094,133114,234357,27399,202263,105715,32094,115435
Construction investment amount,1967,nominal,317065,196801,110094,6511,103583,86707,15629,71078,22869,48208,,,,120264,94436,66185,28251,25828,116576,200489,22140,174661,94436,25828,96906
Construction investment amount,1966,nominal,269539,159534,93397,6437,86960,66137,15170,50967,13572,37395,,,,110005,87446,63381,24065,22559,109053,160486,21607,137927,87446,22559,73526
Construction investment amount,1965,nominal,253173,152474,86474,5869,80605,66000,15226,50774,13802,36973,,,,100699,80691,56430,24261,20008,101786,151387,21095,131379,80691,20008,70782
Construction investment amount,1964,nominal,239258,148507,73897,4490,69407,74610,12829,61781,19884,41896,,,,90751,72463,52345,20118,18288,89782,149476,17319,131188,72463,18288,80069
Construction investment amount,1963,nominal,205627,116065,60916,3957,56959,55149,9947,45202,15000,30202,,,,89562,70451,48812,21639,19111,84355,121272,13904,102161,70451,19111,64313
Construction investment amount,1962,nominal,176832,98860,48764,4071,44693,50096,10792,39304,16117,23188,,,,77972,59862,42505,17357,18110,74725,102107,14863,83997,59862,18110,57414
Construction investment amount,1961,nominal,159102,90649,42390,2996,39394,48259,7619,40640,18854,21787,,,,68453,49102,36107,12995,19351,59717,99385,10615,80034,49102,19351,59991
Construction investment amount,1960,nominal,130658,75650,38707,2392,36315,36943,6885,30058,13655,16403,,,,55008,39357,29784,9573,15651,48634,82024,9277,66373,39357,15651,45709
year over year,2022,nominal,0.6,1.9,1,5.6,0.9,6.3,3.7,10.1,,,0.4,3.6,1.2,1.8,3.6,3.7,3.3,2.7,3.7,2.9,3.8,3,3.6,2.7,7.2
year over year,2021,nominal,2.7,0.1,2,18.9,1.5,1.9,4.5,0.9,,,5.3,3.3,7.2,7,8.8,7,20.2,2.1,7.9,0.3,5.1,0.8,8.8,2.1,1.4
year over year,2020,nominal,5,1,6.2,3.4,6.3,6.5,3.1,9.7,,,30.7,36.5,29.4,12.3,8.1,9.7,0.5,25.1,8.8,2.8,10.8,0.7,8.1,25.1,1.4
year over year,2019,nominal,1.5,3,5.1,18.2,4.7,1.4,1.6,1.4,4.7,0.4,1.6,5.2,2.9,1.4,2.8,2.3,6,2.9,1.7,3.2,1.5,3.3,2.8,2.9,1.9
year over year,2018,nominal,2.3,3.9,4.5,18.7,4,5.1,11.4,2.7,8.7,5.6,0,3.8,0.8,0.8,1.6,1.7,1.5,8.5,4.2,1.3,10.5,2.7,1.6,8.5,0.6
year over year,2017,nominal,2.4,4.7,0.2,19.9,1.1,12.1,19.3,9.6,13,8.8,1.4,3.6,2.6,2,0.9,1,10.2,5.4,1.6,2.8,8.4,4,0.9,5.4,4.7
year over year,2016,nominal,3.4,3,4.2,4.1,4.6,4.6,0.6,6.5,0.6,8,2.3,1,3,4.2,5.2,7.5,5.1,1.4,3.6,3.4,0.7,3.7,5.2,1.4,4.7
year over year,2015,nominal,19,31.3,5.7,6.2,5.7,3.4,1.7,4,23.7,0.1,,,,1,0.7,4.4,32.3,2,8.2,26,34.3,30.8,0.7,2,3.3
year over year,2014,nominal,4.9,5.1,12.2,10.9,13.1,5.4,23,0,10.1,1.8,,,,4.6,7.2,7.4,5.7,3.7,2.1,6.6,20.7,8.5,7.2,3.7,1.3
year over year,2013,nominal,10.9,12.3,9.8,40.7,8.8,16.3,14.4,16.9,4.5,19.5,,,,8.9,10.4,10.8,7.4,4.4,11.8,10.4,18.7,11.5,10.4,4.4,12.4
year over year,2012,nominal,1.5,5.5,6.4,3.9,6.4,4.3,20.6,0.1,11.3,2,,,,3.8,4.4,3.5,10.1,1.7,1.3,3.2,17.5,4.2,4.4,1.7,0.6
year over year,2011,nominal,0.9,6.1,5.7,16.4,6.6,6.8,10.7,5.8,7.6,5.5,,,,8.8,12.5,9.8,25.3,5.7,10.4,6.2,4.5,6.3,12.5,5.7,5.8
year over year,2010,nominal,2.6,2.5,0.9,8,1.3,7.3,2.7,9.5,17.1,8,,,,2.6,0.2,6.8,51.7,11.2,0.1,4.3,0,2.8,0.2,11.2,10.1
year over year,2009,nominal,7.3,17.1,18,9.6,18.9,15.8,12.4,20.2,47.1,11,,,,6.7,11.1,12.2,3.2,6.3,11.2,17.3,11.7,19.4,11.1,6.3,15.5
year over year,2008,nominal,2.3,0.3,3.9,5.3,3.8,5.4,5.6,5.4,24.8,0.1,,,,4.9,5.9,6.9,1.6,1.9,5,0.8,2.6,0.5,5.9,1.9,2.8
year over year,2007,nominal,9.3,11.5,13.4,10.8,13.5,8.3,5.5,8.8,18.5,5.7,,,,6.2,7.1,7.4,5.2,3.1,7.1,10.6,7,11.9,7.1,3.1,6.8
year over year,2006,nominal,2.4,0.9,0,8.3,0.2,2.5,6.1,3.9,15.7,0.7,,,,6.9,8.6,8.9,5.5,1.3,7.9,0.8,2.4,1.2,8.6,1.3,2.1
year over year,2005,nominal,3.6,0.8,1.2,19.7,0.5,0.1,12.8,2.3,17.8,1.3,,,,7,9.6,9.2,13,3.3,10.2,0.9,14.7,0.4,9.6,3.3,2.6
year over year,2004,nominal,2.8,2.5,0.7,19.9,1.6,6,27,16.1,36.5,12.3,,,,8.7,10.2,10,11,2.4,12.1,4.7,25.2,6,10.2,2.4,8.9
year over year,2003,nominal,6.2,2.3,1.2,7.9,0.8,4.4,11.5,2,7.4,3.6,,,,10.2,10.1,10.3,8.6,10.6,10.1,2.8,10.6,1.2,10.1,10.6,5.6
year over year,2002,nominal,6.4,4.4,2.5,5.3,2.4,7.5,1.1,9.4,22.1,6.9,,,,8.3,7.8,7.5,9.8,10.5,7.1,5.7,2.2,4.6,7.8,10.5,9.9
year over year,2001,nominal,5.8,6.9,6.6,1.3,6.9,7.3,10.4,6.3,14.9,4.3,,,,4.7,3.6,2.7,10.2,9.1,4.2,7.1,8.2,6.7,3.6,9.1,7.5
year over year,2000,nominal,3.6,3.1,2.6,9.5,2.3,4,13,0.7,33.5,6.2,,,,4.1,5.5,6.5,2.1,2.1,6.5,1.1,12.2,1.8,5.5,2.1,0.5
year over year,1999,nominal,3.3,0.1,4.6,12,5.7,6.6,3.7,7.6,25.8,3.8,,,,6.4,5,5.2,3.6,11.7,5.1,1.5,5.8,1.1,5,11.7,9.4
year over year,1998,nominal,3.1,10.7,10,8.4,10.1,11.7,8.5,12.8,30.8,7.8,,,,5.4,7.6,8.8,1,2.7,5,9.5,8.5,11.1,7.6,2.7,8.8
year over year,1997,nominal,9.8,13.4,19.4,10.6,19.9,2.7,4.2,2.2,6,4.3,,,,5.5,5.4,5.1,8,5.8,5.5,12.9,5.9,14.4,5.4,5.8,3.7
year over year,1996,nominal,4.4,11.1,13.5,4,14.1,7.1,0.7,10,15.2,8.8,,,,2.6,2.2,2.5,0,3.7,1.8,9.5,0.5,12.8,2.2,3.7,4
year over year,1995,nominal,0.3,6.7,5.8,18.2,5,8.1,10.6,7.1,8.3,6.8,,,,8.9,9.9,10,9.5,5.4,5.6,3.7,12.6,5.7,9.9,5.4,2
year over year,1994,nominal,3.9,3.2,6.7,16.9,6.1,15.9,9.2,18.4,13.3,19.5,,,,4.8,3.1,2.7,5.8,9.9,3.1,4.5,3.3,3.2,3.1,9.9,15.1
year over year,1993,nominal,3.2,8.7,5.1,12.1,4.7,21.7,2.9,27.9,33.8,26.5,,,,4.3,5.8,6.2,3.3,0,5.6,8.8,4.8,10.7,5.8,0,19.2
year over year,1992,nominal,0.6,4.6,2.5,15.1,3.4,6.4,10.4,9.9,26.8,4.4,,,,8.7,11.2,11.1,12.4,1.9,11.3,5.2,11.4,6.6,11.2,1.9,6.5
year over year,1991,nominal,1.2,5.2,11.3,11.1,12.2,1.2,22.1,2.2,4.8,1.3,,,,5.7,5.9,5.1,12,5,8.3,5.7,19.7,7.6,5.9,5,0.2
year over year,1990,nominal,7.7,8.9,5.8,5.1,5.9,12.2,5.9,13.3,5.1,16.4,,,,5.6,1.7,1.6,2,17.8,2.4,10.4,5.8,9.2,1.7,17.8,14.5
year over year,1989,nominal,4.1,5.2,0.7,8.8,0.4,10.6,3.4,13.4,32.8,7.6,,,,2.2,1.2,1.9,4.6,14.4,1.1,6.9,1,5.8,1.2,14.4,13.7
year over year,1988,nominal,6.4,9.4,4.5,6,5,16,1.2,19.5,49.6,12.7,,,,1.7,1.7,2.1,0.8,1.7,1.4,9.3,0.4,10.6,1.7,1.7,14.3
year over year,1987,nominal,12.9,16.4,24.2,1.4,25.3,7.3,3,8.5,1.5,10.2,,,,7.9,8.2,12.8,17.7,7,7.2,16.6,2.7,18.3,8.2,7,8
year over year,1986,nominal,7.8,8.2,9.5,1.9,10.1,6.7,5.6,7,16,14.7,,,,7.2,8.8,9,7.6,2.2,7.8,7.7,3.9,8.8,8.8,2.2,5.5
year over year,1985,nominal,3.4,2.5,3.2,2,3.5,1.8,8.6,4.9,0.8,6.3,,,,4.7,2.5,6.9,16.3,12.6,0.5,5.4,7.2,4.1,2.5,12.6,7.1
year over year,1984,nominal,0,2.2,0.1,7.6,0.4,4.8,7.4,9.1,34.5,2.3,,,,3.1,2.9,1.6,8.2,3.5,3.9,2.7,7.5,3.9,2.9,3.5,5.1
year over year,1983,nominal,4.9,4.2,8.1,4.2,8.8,0.7,11.7,5.9,0,7.6,,,,5.7,0.6,1.4,2.5,23.2,1.5,7.2,8.7,3.4,0.6,23.2,5.5
year over year,1982,nominal,0.7,2.1,1.7,3.5,2,6.5,8.3,5.7,12,3.7,,,,1.2,2.3,4.2,4.6,1.7,0.1,1.1,7.5,1,2.3,1.7,4.1
year over year,1981,nominal,0.9,0.8,1.1,1,1.2,0.4,1.4,1.1,2.3,2.2,,,,3.3,2.1,3.8,3.4,6.6,1.9,0.2,1.3,1.2,2.1,6.6,1.7
year over year,1980,nominal,5.3,6.7,9.5,9,9.5,3.2,2.8,3.3,7.7,6.3,,,,3.2,5.9,4.7,9.6,5.2,5.4,5.2,4,7.2,5.9,5.2,0.4
year over year,1979,nominal,1.4,3.7,1.9,22.2,0.4,11.8,2.9,16.1,35.5,11.9,,,,1.8,2.7,0.9,8,1.1,2.8,4.4,3.1,5.1,2.7,1.1,10.5
year over year,1978,nominal,4.1,3.6,1.9,13.5,1.2,6.1,16.3,1.8,2.1,2.7,,,,4.8,7.6,9.1,3.7,3.3,9.5,0.6,15.6,1.4,7.6,3.3,0.2
year over year,1977,nominal,9.2,3.8,2.8,6,2.6,5.2,25,1.2,14.4,2.4,,,,18,16.5,18.7,10.9,22.4,17.2,4.5,19.7,1.3,16.5,22.4,6.8
year over year,1976,nominal,0.1,0.3,0.9,13,2,0.6,14.4,5,0.6,6.3,,,,0.3,0.2,2.7,6.8,0.6,3.7,2.4,14,3,0.2,0.6,3.1
year over year,1975,nominal,6.8,6.7,14.1,7.6,14.6,2.8,10.1,7.2,29.7,2.3,,,,6.9,13.4,14.8,10.4,9,12.4,3.6,9.4,6.2,13.4,9,7.8
year over year,1974,nominal,13.7,17.3,12.1,29.9,14.4,23.1,11.9,30.5,31.6,30,,,,7.1,7.5,10,1.4,6.3,2.3,19.1,16.4,21.4,7.5,6.3,23.5
year over year,1973,nominal,5,12.5,9.7,14.9,11.4,16,10.3,17.3,41.4,9.2,,,,6.5,13.7,15.5,9.2,17.6,10.6,14.4,2.7,13.9,13.7,17.6,17.4
year over year,1972,nominal,18.6,16.7,16.7,5.4,18.6,16.7,4.2,19.9,17.6,20.7,,,,21.6,19.5,19,20.9,28.9,15.5,20.5,1.1,19.2,19.5,28.9,22.4
year over year,1971,nominal,12.7,6.4,7.2,17.9,6.4,5.4,8.8,4.6,23.7,19.7,,,,24.4,27.7,30.8,20,13.7,23.8,6.7,11.6,5.6,27.7,13.7,6.9
year over year,1970,nominal,9.9,11.6,9.2,28,8,14.5,27.1,11.7,14.3,10.3,,,,6.9,10.4,11.6,7.5,2.9,14,7.8,27.4,9.5,10.4,2.9,7.5
year over year,1969,nominal,15.2,17.8,17.7,15.6,17.8,18,12.2,19.3,22.8,17.6,,,,10.9,6.8,8.3,3.5,24.4,8.1,19.3,13.2,18.4,6.8,24.4,20.7
year over year,1968,nominal,15.9,16.7,15.4,24.3,14.8,18.4,23.5,17.3,20.9,15.5,,,,14.6,11.9,10.7,14.8,24.3,14.2,16.9,23.8,15.8,11.9,24.3,19.1
year over year,1967,nominal,17.6,23.4,17.9,1.1,19.1,31.1,3,39.5,68.5,28.9,,,,9.3,8,4.4,17.4,14.5,6.9,24.9,2.5,26.6,8,14.5,31.8
year over year,1966,nominal,6.5,4.6,8,9.7,7.9,0.2,0.4,0.4,1.7,1.1,,,,9.2,8.4,12.3,0.8,12.7,7.1,6,2.4,5,8.4,12.7,3.9
year over year,1965,nominal,5.8,2.7,17,30.7,16.1,11.5,18.7,17.8,30.6,11.8,,,,11,11.4,7.8,20.6,9.4,13.4,1.3,21.8,0.1,11.4,9.4,11.6
year over year,1964,nominal,16.4,28,21.3,13.5,21.9,35.3,29,36.7,32.6,38.7,,,,1.3,2.9,7.2,7,4.3,6.4,23.3,24.6,28.4,2.9,4.3,24.5
year over year,1963,nominal,16.3,17.4,24.9,2.8,27.4,10.1,7.8,15,6.9,30.2,,,,14.9,17.7,14.8,24.7,5.5,12.9,18.8,6.5,21.6,17.7,5.5,12
year over year,1962,nominal,11.1,9.1,15,35.9,13.5,3.8,41.6,3.3,14.5,6.4,,,,13.9,21.9,17.7,33.6,6.4,25.1,2.7,40,5,21.9,6.4,4.3
year over year,1961,nominal,21.8,19.8,9.5,25.3,8.5,30.6,10.7,35.2,38.1,32.8,,,,24.4,24.8,21.2,35.7,23.6,22.8,21.2,14.4,20.6,24.8,23.6,31.2
year over year,1960,nominal,,,,,,,,,,,,,,,,,,,,,,,,,
proportion,2022,nominal,100,64.7,23.9,0.5,23.4,23.6,5.8,17.8,,,17.1,2.8,14.3,35.3,24.7,21.6,3,10.6,33.8,66.2,9.1,55.6,24.7,10.6,28.5
proportion,2021,nominal,100,63.8,24.3,0.5,23.8,22.3,6,16.3,,,17.2,2.9,14.2,36.2,25.8,22.6,3.2,10.4,35.3,64.7,9.5,54.3,25.8,10.4,26.7
proportion,2020,nominal,100,62.1,24.1,0.6,23.5,22.2,6.1,16,,,15.9,2.9,12.9,37.9,27.5,23.6,3.9,10.4,37.2,62.8,9.7,52.4,27.5,10.4,26.4
